"COURSE ID",COLLEGE,"TITLE (CB02)",STATUS,"CONTROL NUMBER (CB00)","DEPARTMENT NAME (CB01A)","DEPARTMENT NUMBER (CB01B)","CREDIT STATUS (CB04)","MINIMUM CONTACT HOURS","MAXIMUM CONTACT HOURS","MINIMUM UNITS OF CREDIT (CB07)","MAXIMUM UNITS OF CREDIT (CB06)","COURSE CLASSIFICATION STATUS (CB11)","EDUCATIONAL ASSISTANCE CLASS INSTRUCTION (APPROVED SPECIAL CLASS) (CB13)","COURSE PRIOR TO TRANSFER LEVEL (CB21)","FUNDING AGENCY CATEGORY (CB23)","COURSE BASIC SKILLS STATUS (CB08)","STUDENT ACCOUNTABILITY MODEL (SAM) PRIORITY CODE (CB09)","COURSE COOPERATIVE WORK EXPERIENCE EDUCATION STATUS (CB10)","NONCREDIT CATEGORY (CB22)","TRANSFER STATUS (CB05)","COURSE PROGRAM STATUS (CB24)","Course General Education Status (CB25)","Support Course Status (CB26)","TOP CODE (CB03)","LAST UPDATED BY COLLEGE","MINIMUM OUTSIDE OF CLASS HOURS","MAXIMUM OUTSIDE OF CLASS HOURS","MINIMUM COURSE CONTACT HOURS","MAXIMUM COURSE CONTACT HOURS","HOURS OF UNPAID WORK","HOURS OF PAID WORK"
388667,CALBRIGHT,"College and Career Essential Skills",Active,CCC000608420,WF,500,N,,,0.00,0.00,J,N,Y,Y,N,E,N,J,C,1,Y,,"4930.13 Academic Guidance",2024-04-16,,,50.00,150.00,,
388668,CALBRIGHT,"Introduction at Cybersecurity (Security+)",Active,CCC000608418,IT,510,N,,,0.00,0.00,K,N,Y,Y,N,C,N,I,C,1,Y,,"0799.00* Other Information Technology",2024-04-16,,,120.00,360.00,,
388669,CALBRIGHT,"Introduction to Information Technology Support (A+)",Active,CCC000608417,IT,500,N,,,0.00,0.00,K,N,Y,Y,N,C,N,I,C,1,Y,,"0708.20* Computer Support",2024-04-16,,,120.00,360.00,,
388670,CALBRIGHT,"Medical Coding for Professional Services",Active,CCC000608419,MC,500,N,,,0.00,0.00,K,N,Y,Y,N,C,N,I,C,1,Y,,"1223.10* Health Information Coding",2024-04-16,,,180.00,540.00,,
400737,CALBRIGHT,"Industry Training and Experience",Active,CCC000619153,WF,550,N,,,0.00,0.00,J,N,Y,Y,N,E,N,J,C,1,Y,N,"4930.12 Job Seeking/Changing Skills",2023-03-03,,,70.00,90.00,,
406196,CALBRIGHT,"Customer Relationship Management (CRM) Technology - Noncredit",Active,CCC000622827,IT,520,N,,,0.00,0.00,K,N,Y,Y,N,C,N,I,C,1,Y,N,"0799.00* Other Information Technology",2021-03-03,,,15.00,15.00,,
406197,CALBRIGHT,"Customer Relationship Management (CRM) Platform Administration - Noncredit",Active,CCC000622828,IT,525,N,,,0.00,0.00,K,N,Y,Y,N,C,N,I,C,1,Y,N,"0799.00* Other Information Technology",2021-03-03,,,30.00,30.00,,
407202,CALBRIGHT,"Interpersonal Skills for Healthcare Workers - Noncredit",Active,CCC000623671,HC,500,N,,,0.00,0.00,K,N,Y,Y,N,C,N,I,C,1,Y,N,"1201.00* Health Occupations, General",2021-03-26,,,30.00,60.00,,
407203,CALBRIGHT,"Diversity, Equity and Inclusion in the Healthcare Setting - Noncredit",Active,CCC000623672,HC,501,N,,,0.00,0.00,K,N,Y,Y,N,C,N,I,C,1,Y,N,"1201.00* Public Health",2021-03-26,,,30.00,60.00,,
408211,CALBRIGHT,"Upskilling Practical Applications - Noncredit",Active,CCC000624288,HC,502,N,,,0.00,0.00,K,N,Y,Y,N,C,N,I,C,1,Y,N,"1201.00* Public Health",2021-04-28,,,15.00,30.00,,
408212,CALBRIGHT,"IT Essentials - Noncredit",Active,CCC000624289,IT,530,N,,,0.00,0.00,K,N,Y,Y,N,C,N,I,C,1,Y,N,"0708.20* Computer Support",2021-04-28,,,70.00,140.00,,
408213,CALBRIGHT,"IT Essentials Virtual Lab - Noncredit",Active,CCC000624290,IT,531,N,,,0.00,0.00,K,N,Y,Y,N,C,N,I,C,1,Y,N,"0708.20* Computer Support",2021-04-28,,,70.00,140.00,,
410305,CALBRIGHT,"Introduction to Networks - Noncredit",Active,CCC000626034,IT,532,N,,,0.00,0.00,K,N,Y,Y,N,C,N,I,C,1,Y,N,"0708.10* Computer Networking",2021-07-14,,,70.00,140.00,,
