Domain,IP,ASN,Company,Flag,Added,Details,Service Ticket,Reported to ICANN
.be,,,,Yes,2020-08-05 09:06:00.000,,,
.ch,,,,Yes,2020-08-05 09:06:00.000,,,
.co,,,,Yes,2020-08-05 09:06:00.000,,,
.cx,,,,Yes,2020-08-05 09:06:00.000,,,
.de,,,,Yes,2020-08-05 09:06:00.000,,,
.dj,,,,Yes,2020-08-05 09:06:00.000,,,
.eg,,,,Yes,2020-08-05 09:06:00.000,,,
.es,,,,Yes,2020-08-05 09:06:00.000,,,
.eu,,,,Yes,2020-08-05 09:06:00.000,,,
.fr,,,,Yes,2020-08-05 09:06:00.000,,,
.in,,,,Yes,2020-08-27 07:51:00.000,,,
.it,,,,Yes,2020-08-05 09:06:00.000,,,
.jp,,,,Yes,2020-08-05 09:06:00.000,,,
.la,,,,Yes,2020-08-05 09:06:00.000,,,
.li,,,,Yes,2020-08-05 09:06:00.000,,,
.nf,,,,Yes,2020-08-05 09:06:00.000,,,
.pink,,,,Yes,2020-08-05 09:06:00.000,,,
.re,,,,Yes,2020-08-05 09:06:00.000,,,
.ru,,,,Yes,2020-08-05 09:06:00.000,,,
.sa,,,,Yes,2020-08-05 09:06:00.000,,,
.si,,,,Yes,2020-08-05 09:06:00.000,,,
.tc,,,,Yes,2020-08-05 09:06:00.000,,,
.vn,,,,Yes,2020-09-01 08:41:00.000,,,
aim.com,,,,No,2020-08-02 20:20:00.000,,,
Alltooss.com,,,,Yes,2020-11-27 09:46:00.000,,,
altmails.com,,,,Yes,2020-08-05 09:06:00.000,,,
amentionq.com,,,,Yes,2020-08-05 09:06:00.000,,,
andsee.org,,,,Yes,2020-08-05 09:06:00.000,,,
andyes.net,,,,Yes,2020-08-05 09:06:00.000,,,
aol.com,,,,No,2020-08-03 21:23:00.000,,,
armyspy.com,,,,Yes,2020-08-05 09:06:00.000,,,
asianexus.com,,,,No,2020-12-09 09:13:00.000,,,
att.net,,,,No,2020-08-01 20:00:00.000,,,
awdrt.net,,,,Yes,2020-08-05 09:06:00.000,,,
bossemail.info,,,,Yes,2020-08-05 09:06:00.000,,,
buckeyeexpress.com,,,,No,2020-11-23 16:57:00.000,,,
calbright.org,,,,No,2020-08-17 17:13:00.000,,,
ciantel.com,,,,Yes,2020-08-05 09:06:00.000,,,
coalamails.com,,,,Yes,2020-08-05 09:06:00.000,,,
comcast.net,,,,No,2020-08-06 20:21:00.000,,,
construyendovidas.org,,,,Yes,2020-09-28 13:10:00.000,,,
dantrimble.com,,,,No,2021-01-24 08:00:00.000,,,
dayrep.com,,,,Yes,2020-08-05 09:06:00.000,,,
denomla.com,,,,Yes,2020-08-05 09:06:00.000,,,
digitaldynamiteproductions.com,,,,No,2021-01-13 15:46:00.000,,,
discardmail.com,,,,Yes,2021-04-01 15:01:00.000,,,
dsecurelyx.com,,,,Yes,2020-08-05 09:06:00.000,,,
emailnube.com,,,,Yes,2020-08-05 09:06:00.000,,,
enayu.com,,,,Yes,2020-08-05 09:06:00.000,,,
fake-box.com,,,,Yes,2020-08-05 09:06:00.000,,,
fbeaveraqb.com,,,,Yes,2020-08-05 09:06:00.000,,,
fddeutschb.com,,,,Yes,2020-08-05 09:06:00.000,,,
fpco.digital,,,,No,2020-09-07 13:58:00.000,,,
fuwamofu.com,,,,Yes,2020-08-05 09:06:00.000,,,
getnada.com,,,,Yes,2020-10-02 13:46:00.000,,,
gmail.co,,,,Yes,2020-11-27 23:11:00.000,,,
gmail.com,,,,No,2020-09-30 11:51:00.000,,,
go.sfcollege.edu,,,,No,2020-10-30 22:03:00.000,,,
golld.us,,,,Yes,2020-08-05 09:06:00.000,,,
gomaild.com,,,,yes,2020-09-09 13:34:00.000,,,
gurumail.xyz,,,,Yes,2020-10-07 23:14:00.000,,,
h3systems.com,,,,No,2020-10-29 21:21:00.000,,,
hatuli.com,,,,Yes,2020-08-05 09:06:00.000,,,
historictheology.com,,,,Yes,2021-01-10 21:34:00.000,"Subdomain of ""temporary-email-address[.]com""",,
hotmail.com,,,,No,2020-10-02 16:55:00.000,,,
hotmail.fr,,,,Yes,2020-12-09 14:07:00.000,,,
ichigo.me,,,,Yes,2020-08-05 09:06:00.000,,,
icloud.com,,,,No,2020-08-01 19:41:00.000,,,
ifchuck.com,,,,Yes,2020-08-05 09:06:00.000,,,
imail8.net,,,,Yes,2020-08-18 15:42:00.000,,,
iopmail.com,,,,Yes,2020-08-05 09:06:00.000,,,
itsnot.work,103.214.112.81,,,Yes,2020-11-06 07:18:00.000,,,
iwijn.com,,,,Yes,2020-08-05 09:06:00.000,,,
jarilusua.com,,,,Yes,2020-10-11 23:08:00.000,,,
jourrapide.com,,,,Yes,2020-08-05 09:06:00.000,,,
juzab.com,,,,Yes,2021-02-20 01:13:00.000,,,
katamo1.com,,,,Yes,2020-08-05 09:06:00.000,,,
keinmail.com,,,,yes,2020-09-09 10:34:00.000,,,
klefv6.com,,,,Yes,2020-08-05 09:06:00.000,,,
kleogb.com,,,,Yes,2020-08-05 09:06:00.000,,,
kylelaughlin.com,,,,No,2020-11-30 11:02:00.000,,,
lbcc.edu,,,,No,2020-11-29 19:35:00.000,,,
lerwfv.com,,,,Yes,2020-08-05 09:06:00.000,,,
liberiaom.com,,,,Yes,2020-08-05 09:06:00.000,,,
live.com,,,,No,2020-08-04 20:08:00.000,,,
luottin.com,,,,Yes,2020-08-05 09:06:00.000,,,
mac.com,,,,No,2020-11-23 11:43:00.000,,,
macr2.com,,,,Yes,2020-08-05 09:06:00.000,,,
mail.com,,,,No,2020-09-22 21:43:00.000,,,
mailboxt.net,,,,Yes,2020-08-05 09:06:00.000,,,
mailnd7.com,,,,Yes,2020-08-05 09:06:00.000,,,
mailop7.com,,,,Yes,2020-08-05 09:06:00.000,,,
mailsac.com,,,,yes,2020-09-10 06:54:00.000,,,
me.com,,,,No,2020-09-04 19:58:00.000,,,
minisites.me,,,,No,2021-01-21 05:34:00.000,,,
moviepo.us,,,,Yes,2020-08-05 09:06:00.000,,,
msn.com,,,,No,2020-08-05 11:47:00.000,,,
multiservices3.com,,,,Yes,2020-11-06 15:45:00.000,,,
navmail.org,,,,Yes,2020-08-05 09:06:00.000,,,
neko2.net,,,,Yes,2020-08-05 09:06:00.000,,,
oallenlj.com,,,,Yes,2020-08-05 09:06:00.000,,,
opentrash.com,,,,Yes,2020-08-05 09:06:00.000,,,
outlook.com,,,,No,2020-10-05 23:56:00.000,,,
outlook.com.vn,,,,Yes,2020-09-01 08:42:00.000,,,
outree.org,,,,Yes,2020-08-23 05:14:00.000,,,
panchoalts.com,,,,Yes,2020-10-11 05:15:00.000,,,
parentsxke.com,198.199.110.115,14061,Digital Ocean,Yes,2020-08-05 09:06:00.000,,,
prekab.net,,,,Yes,2020-10-26 07:35:00.000,,,
privateme.site,,,,Yes,2020-08-05 09:06:00.000,,,
protonmail.com,,,,Yes,2020-08-20 07:50:00.000,,,
psnator.com,,,,No,2021-01-14 04:18:00.000,,,
qq.com,,,,Yes,2020-08-05 09:06:00.000,,,
quottlymail.com,,,,No,2020-12-25 20:39:00.000,,,
re-gister.com,,,,Yes,2020-08-05 09:06:00.000,,,
rediffmail.com,,,,Yes,2020-08-05 09:06:00.000,,,
rhyta.com,,,,Yes,2020-08-05 09:06:00.000,,,
rocketmail.com,,,,No,2021-01-10 07:48:00.000,,,
rrasianp.com,,,,Yes,2020-08-05 09:06:00.000,,,
sage.speedfocus.biz,,,,Yes,2020-12-04 04:56:00.000,,,
sbcglobal.net,,,,No,2020-09-15 23:48:00.000,,,
scoreek.com,,,,Yes,2020-10-14 09:10:00.000,,,
shrewsberry.org,,,,No,2021-02-27 13:46:00.000,,,
sika3.com,,,,Yes,2020-08-05 09:06:00.000,,,
startmail.com,,,,Yes,2020-08-07 01:21:00.000,,,
STUDENT.CITRUSCOLLEGE.EDU,,,,No,2020-12-21 14:41:00.000,,,
student.laccd.edu,,,,Yes,2020-12-05 09:26:00.000,,,
sudomail.com,,,,Yes,2021-03-12 11:27:00.000,,,
sweatmail.com,,,,Yes,2020-08-05 09:06:00.000,,,
tantennajz.com,,,,Yes,2020-08-05 09:06:00.000,,,
tegres24.com,,,,Yes,2020-08-05 09:06:00.000,,,
telewm.us,,,,Yes,2020-08-05 09:06:00.000,,,
teleworm.us,,,,Yes,2020-12-17 09:24:00.000,,,
temp-mail.org,,,,Yes,2020-08-05 09:06:00.000,,,
tempr.email,,,,Yes,2020-08-05 09:06:00.000,,,
thefowlers.org,,,,No,2020-08-27 11:44:00.000,,,
tmajre.com,,,,Yes,2020-08-05 09:06:00.000,,,
tonmails.com,,,,Yes,2020-08-07 03:06:00.000,,,
topmail1.net,,,,Yes,,,,
trash-mail.com,,,,Yes,2020-08-05 09:06:00.000,,,
trash-me.com,,,,Yes,2020-08-05 09:06:00.000,,,
tutanota.com,,,,No,2021-01-05 18:09:00.000,,,
upcmaill.com,,,,Yes,2020-08-05 09:06:00.000,,,
usa.com,,,,Yes,2020-08-05 09:06:00.000,,,
usako.net,,,,Yes,2020-08-05 09:06:00.000,,,
uuluu.net,,,,Yes,2020-08-05 09:06:00.000,,,
vcccd.edu,,,,No,2020-10-24 17:18:00.000,,,
vxmail.top,,,,Yes,,,,
walnutcreeksd.org,,,,No,2021-01-07 10:28:00.000,,,
whmailtop.com,,,,Yes,2020-08-05 09:06:00.000,,,
wilkinson.biz,,,,Yes,2020-08-05 09:06:00.000,,,
yahoo.com,,,,No,2020-10-08 22:42:00.000,,,
yamails.net,,,,Yes,2020-10-26 07:38:00.000,,,
yandex.com,,,,Yes,2020-08-05 09:06:00.000,,,
ymail.com,,,,yes,2020-11-12 13:38:00.000,,,
yopmail.com,,,,Yes,2020-08-05 09:06:00.000,,,
yopmail.net,,,,Yes,2020-08-05 09:06:00.000,,,
you-spam.com,,,,Yes,2020-08-05 09:06:00.000,,,
yuoia.com,,,,Yes,2020-08-05 09:06:00.000,,,
zik2zik.com,,,,Yes,2020-10-26 07:38:00.000,,,
zkeiw.com,,,,Yes,2020-08-05 09:06:00.000,,,
zoho.com,,,,Yes,2020-08-05 09:06:00.000,,,
zyyberrys.com,,,,Yes,2020-08-05 09:06:00.000,,,
gdcreative.com,,,,No,2021-03-16 11:48:00.000,,,
xmlrhands.com,,,,No,2021-04-20 13:47:00.000,,,
peralta.edu,,,,No,2021-05-17 10:10:00.000,,,
san.rr.com,,,,No,2021-05-17 10:10:00.000,,,
dec123.com,,,,No,2021-05-17 10:10:00.000,,,
haighthouse.com,,,,No,2021-05-17 10:10:00.000,,,
shawnebell.com,,,,No,2021-05-23 15:01:00.000,,,
givmail.com,,,,No,2021-05-29 01:10:00.000,,,
uci.edu,,,,No,2021-06-02 13:12:00.000,,,
swccd.edu,,,,No,2021-06-17 06:36:00.000,,,
